TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_EFF_DT,LOSS_DT,DUREE_CONTRAT_MOIS,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,STATE,POSTAL_CODE,MARITAL_STATUS,MAITAL_STATUS_NUM,AGE,TENURE,PRIME_CUMULEE,MARGE_CONTRAT_A_DATE,EMPLOYMENT_STATUS,ETAT_EMPLOYEE,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,DATE_OF_JOINING
2020-06-01,TXN00000001,A00003822,2015-06-23,2020-05-16,58,2020-05-21,Health,157.13,9000,Christopher Demarest,AZ,85308,Y,1,54,89,5162,-3838,Y,1,3,L,Own,LI,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556,1994-01-06
2020-06-01,TXN00000002,A00008149,2018-04-21,2020-05-13,24,2020-05-18,Property,141.71,26000,Ricardo Gatlin,CO,80005,N,0,61,80,1920,-24080,Y,1,4,L,Rent,MI,Bachelor,A,Total Loss,Ambulance,1,0,AL,Montgomery,0,AGENT00769,VNDR00592,2004-05-28
2020-06-01,TXN00000003,A00003172,2019-10-03,2020-05-21,7,2020-05-26,Property,157.24,13000,Lashawn Engles,CA,94591,N,0,47,68,476,-12524,Y,1,6,L,Rent,MI,PhD,A,Total Loss,Police,0,1,CO,Grand Junction,19,AGENT00883,VNDR00031,2004-08-01
2020-06-01,TXN00000004,A00007572,2016-11-29,2020-05-14,41,2020-05-19,Health,172.87,16000,Steven Bassett,GA,31404,Y,1,36,16,656,-15344,Y,1,7,L,Mortgage,MI,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075,2007-06-12
2020-06-01,TXN00000005,A00008173,2011-12-26,2020-05-17,100,2020-05-22,Travel,88.53,3000,Jason Rodriguez,CA,94550,Y,1,51,16,1600,-1400,Y,1,2,M,Rent,HI,Masters,A,Major Loss,Police,0,1,TN,Nashville,18,AGENT00636,VNDR00472,2010-01-19
2020-06-01,TXN00000006,A00003571,2012-12-28,2020-05-20,88,2020-05-25,Life,87.02,63000,Terrance Han,AZ,85301,N,0,42,38,3344,-59656,Y,1,2,M,Rent,MI,College,A,Major Loss,Ambulance,0,1,AZ,Glendale,0,AGENT00402,VNDR00451,2009-08-01
2020-06-01,TXN00000007,A00007245,2012-10-26,2020-05-13,90,2020-05-18,Health,197.23,3000,Dennis Johnson,FL,32404,Y,1,61,20,1800,-1200,Y,1,7,L,Rent,MI,Bachelor,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150,2013-06-02
2020-06-01,TXN00000008,A00004301,2018-12-30,2020-05-14,16,2020-05-19,Motor,83.77,8000,Maryalice Martinez,GA,31406,Y,1,35,97,1552,-6448,Y,1,3,L,Rent,MI,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326,1995-11-11
2020-06-01,TXN00000009,A00004671,2019-06-27,2020-05-21,10,2020-05-26,Motor,82.14,5000,Nicholas Hamilton,KY,40202,N,0,27,118,1180,-3820,Y,1,4,H,Mortgage,MI,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437,2017-10-12
2020-06-01,TXN00000010,A00002020,2015-12-19,2020-05-15,52,2020-05-20,Travel,71.29,4000,Nicholas Honokaupu,AL,36117,Y,1,61,119,6188,2188,Y,1,4,L,Rent,HI,PhD,A,Major Loss,Ambulance,0,0,CA,San Leandro,4,AGENT00682,VNDR00451,2000-08-10
